,id,name,country,country_code,abbreviation,week,Year
491,sr:competitor:258735,"Cerundolo, Juan Manuel",Argentina,ARG,CER,32,2026
492,sr:competitor:283349,"Suksumrarn, Thantub",Thailand,THA,SUK,32,2026
493,sr:competitor:283451,"Rodriguez, Lorenzo Joaquin",Argentina,ARG,ROD,32,2026
494,sr:competitor:645452,"Nesterov, Pyotr",Bulgaria,BGR,NES,32,2026
495,sr:competitor:518802,"Cigarran, Thiago",Argentina,ARG,CIG,32,2026
496,sr:competitor:622876,"Vallejo, Adolfo Daniel",Paraguay,PRY,VAL,32,2026
497,sr:competitor:498580,"Aboian, Valerio",Argentina,ARG,ABO,32,2026
498,sr:competitor:552469,"Agafonov, Egor",Neutral,,AGA,32,2026
499,sr:competitor:1111195,"Remondy Pagotto, Victor Hugo",Brazil,BRA,REM,32,2026
500,sr:competitor:72376,"Siniakova, Katerina",Czechia,CZE,SIN,32,2026
501,sr:competitor:51387,"Townsend, Taylor",USA,USA,TOW,32,2026
502,sr:competitor:43860,"Dabrowski, Gabriela",Canada,CAN,DAB,32,2026
503,sr:competitor:96075,"Stefani, Luisa",Brazil,BRA,STE,32,2026
504,sr:competitor:41524,"Krunic, Aleksandra",Serbia,SRB,KA,32,2026
505,sr:competitor:69718,"Danilina, Anna",Kazakhstan,KAZ,DAN,32,2026
506,sr:competitor:78551,"Mertens, Elise",Belgium,BEL,MER,32,2026
507,sr:competitor:19607,"Zhang, Shuai",China,CHN,ZHA,32,2026
508,sr:competitor:74949,"Routliffe, Erin",New Zealand,NZL,ROU,32,2026
509,sr:competitor:153652,"Guo, Hanyu",China,CHN,GUO,32,2026
510,sr:competitor:19202,"Errani, Sara",Italy,ITA,ERR,32,2026
511,sr:competitor:46084,"Melichar-Martinez, Nicole",USA,USA,MEL,32,2026
512,sr:competitor:33593,"Mladenovic, Kristina",France,FRA,MLA,32,2026
513,sr:competitor:69208,"Paolini, Jasmine",Italy,ITA,PAO,32,2026
514,sr:competitor:18936,"Hsieh, Su-Wei",Chinese Taipei,TPE,HSI,32,2026
515,sr:competitor:99131,"Bucsa, Cristina",Spain,ESP,BUC,32,2026
516,sr:competitor:64496,"Ostapenko, Jelena",Latvia,LVA,OST,32,2026
517,sr:competitor:18298,"Zvonareva, Vera",Neutral,,ZVO,32,2026
518,sr:competitor:119670,"Perez, Ellen",Australia,AUS,PER,32,2026
519,sr:competitor:37508,"Siegemund, Laura",Germany,DEU,SIE,32,2026
520,sr:competitor:45835,"Hunter, Storm",Australia,AUS,HUN,32,2026
521,sr:competitor:43547,"Aoyama, Shuko",Japan,JPN,AOY,32,2026
522,sr:competitor:50537,"Schuurs, Demi",Netherlands,NLD,SCH,32,2026
523,sr:competitor:208125,"Liang, En-Shuo",Chinese Taipei,TPE,LIA,32,2026
524,sr:competitor:43102,"Babos, Timea",Hungary,HUN,BAB,32,2026
525,sr:competitor:150122,"Jiang, Xinyu",China,CHN,JIA,32,2026
526,sr:competitor:51481,"Sutjiadi, Aldila",Indonesia,IDN,SUT,32,2026
527,sr:competitor:129714,"Nicholls, Olivia",Great Britain,GBR,NIC,32,2026
528,sr:competitor:142996,"Mihalikova, Tereza",Slovakia,SVK,MIH,32,2026
529,sr:competitor:19974,"Xu, Yifan",China,CHN,YIF,32,2026
530,sr:competitor:871583,"Andreeva, Mirra",Neutral,,AND,32,2026
531,sr:competitor:588071,"Shnaider, Diana",Neutral,,SHN,32,2026
532,sr:competitor:66968,"Kudermetova, Veronika",Neutral,,KUD,32,2026
533,sr:competitor:157672,"Stollar, Fanny",Hungary,HUN,STO,32,2026
534,sr:competitor:24431,"Panova, Alexandra",Neutral,,PAN,32,2026
535,sr:competitor:73542,"Gleason, Quinn",USA,USA,GLE,32,2026
536,sr:competitor:166124,"Olmos, Giuliana",Mexico,MEX,OLM,32,2026
537,sr:competitor:242602,"McNally, Caty",USA,USA,MCC,32,2026
538,sr:competitor:460837,"Tjen, Janice",Indonesia,IDN,TJE,32,2026
539,sr:competitor:47801,"Eikeri, Ulrikke",Norway,NOR,EIK,32,2026
540,sr:competitor:48625,"Chan, Hao-Ching",Chinese Taipei,TPE,CHA,32,2026
541,sr:competitor:19932,"Muhammad, Asia",USA,USA,MUH,32,2026
542,sr:competitor:64021,"Krawczyk, Desirae",USA,USA,KRA,32,2026
543,sr:competitor:47810,"Khromacheva, Irina",Neutral,,KHR,32,2026
544,sr:competitor:66432,"Kato, Miyu (1994)",Japan,JPN,KAT,32,2026
545,sr:competitor:41520,"Kichenok, Lyudmyla",Ukraine,UKR,KIC,32,2026
546,sr:competitor:128584,"Samsonova, Liudmila",Neutral,,SAM,32,2026
547,sr:competitor:776340,"Joint, Maya",Australia,AUS,JOI,32,2026
548,sr:competitor:69602,"Lumsden, Maia",Great Britain,GBR,LUM,32,2026
549,sr:competitor:19731,"Piter, Katarzyna",Poland,POL,PIT,32,2026
550,sr:competitor:67759,"Alexandrova, Ekaterina",Neutral,,ALE,32,2026
551,sr:competitor:108621,"Kempen, Magali",Belgium,BEL,KEM,32,2026
552,sr:competitor:182054,"Skoch, Miriam",Czechia,CZE,SKO,32,2026
553,sr:competitor:46428,"Maleckova, Jesika",Czechia,CZE,MAL,32,2026
554,sr:competitor:401055,"Noskova, Linda",Czechia,CZE,NOS,32,2026
555,sr:competitor:91960,"Kenin, Sofia",USA,USA,KEN,32,2026
556,sr:competitor:194106,"Tang, Qianhui",China,CHN,TAN,32,2026
557,sr:competitor:235252,"Kozyreva, Maria",Neutral,,KOZ,32,2026
558,sr:competitor:173748,"Detiuc, Anastasia",Czechia,CZE,DET,32,2026
559,sr:competitor:87090,"Chong, Eudice","Hong Kong, China",HKG,CHO,32,2026
560,sr:competitor:45915,"Yang, Zhaoxuan",China,CHN,YAN,32,2026
561,sr:competitor:215476,"Siskova, Anna",Czechia,CZE,SIS,32,2026
562,sr:competitor:182178,"Wu, Fang-Hsien",Chinese Taipei,TPE,FAN,32,2026
563,sr:competitor:373352,"Gauff, Coco",USA,USA,GAU,32,2026
564,sr:competitor:287769,"Kessler, McCartney",USA,USA,KES,32,2026
565,sr:competitor:60668,"Ninomiya, Makoto",Japan,JPN,NIN,32,2026
566,sr:competitor:70784,"Hozumi, Eri",Japan,JPN,HOZ,32,2026
567,sr:competitor:289507,"Fernandez, Leylah",Canada,CAN,FER,32,2026
568,sr:competitor:18965,"Klepac, Andreja",Slovenia,SVN,KLE,32,2026
569,sr:competitor:105463,"Bouzkova, Marie",Czechia,CZE,BOU,32,2026
570,sr:competitor:418583,"Haverlag, Isabelle",Netherlands,NLD,HAV,32,2026
571,sr:competitor:799304,"Pridankina, Elena",Neutral,,PRI,32,2026
572,sr:competitor:138452,"Shibahara, Ena",Japan,JPN,SHI,32,2026
573,sr:competitor:385206,"Radisic, Nika",Slovenia,SVN,RAD,32,2026
574,sr:competitor:92879,"Shymanovich, Iryna",Neutral,,SHY,32,2026
575,sr:competitor:303814,"Tikhonova, Anastasia",Neutral,,TIK,32,2026
576,sr:competitor:60398,"Krejcikova, Barbora",Czechia,CZE,KRE,32,2026
577,sr:competitor:252223,"Rakhimova, Kamilla",Uzbekistan,UZB,RAK,32,2026
578,sr:competitor:53789,"Dart, Harriet",Great Britain,GBR,DAR,32,2026
579,sr:competitor:44834,"Pegula, Jessica",USA,USA,PEG,32,2026
580,sr:competitor:135854,"Neel, Ingrid",Estonia,EST,NEE,32,2026
581,sr:competitor:92877,"Fossa Huergo, Nicole",Argentina,ARG,FOS,32,2026
582,sr:competitor:64085,"Pigossi, Laura",Brazil,BRA,PIG,32,2026
583,sr:competitor:914135,"Jovic, Iva",USA,USA,JOV,32,2026
584,sr:competitor:103901,"Ruse, Elena-Gabriela",Romania,ROU,RUS,32,2026
585,sr:competitor:272217,"Wang, Xinyu",China,CHN,WAN,32,2026
